Comment,Designator,Footprint,LCSC
BTN-R1,J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-R3,J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Pico,U1,RPi_Pico_SMD_TH,
CARD-READER,J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-L2,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-L3,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-LMENU,J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
BTN-LSIDE,J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-RSIDE,J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-RMENU,J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
BTN-L1,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
LEVER,J15,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
BTN-R2,J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BTN-EXTRAS,J18,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
CONN-EXTRAS,J17,PinHeader_2x03_P2.54mm_Vertical,
SW-RUN,SW1,SW_SPST_TL3342,
CONN-USB,J16,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
10k,R2,R_0805_2012Metric,
100R,R4,R_0805_2012Metric,
SW-SERV,SW2,SW_SPST_TL3342,
BSS138,Q6,SOT-23,
100R,R6,R_0805_2012Metric,
10k,R3,R_0805_2012Metric,
10k,R9,R_0805_2012Metric,
BSS138,Q2,SOT-23,
BSS138,Q1,SOT-23,
10k,R8,R_0805_2012Metric,
100R,R10,R_0805_2012Metric,
10k,R1,R_0805_2012Metric,
10k,R7,R_0805_2012Metric,
SW-TEST,SW3,SW_SPST_TL3342,
BSS138,Q5,SOT-23,
100R,R5,R_0805_2012Metric,
BSS138,Q3,SOT-23,
BSS138,Q4,SOT-23,
SW-COIN,SW4,SW_SPST_TL3342,
100R,R11,R_0805_2012Metric,
100R,R12,R_0805_2012Metric,
